Mfr Name,Division,Carline,Average City CO2,Average City Fuel Efficiency
Mercedes-Benz,Mercedes-Benz,GLE 350,490,18
Mercedes-Benz,Mercedes-Benz,GLE 350 4MATIC,505,18
Mercedes-Benz,Mercedes-Benz,GLE 400 4MATIC,493,18
Mercedes-Benz,Mercedes-Benz,GLS 450 4MATIC,535,17
Mercedes-Benz,Mercedes-Benz,GLS 550 4MATIC,628,14
Mercedes-Benz,Mercedes-Benz,Maybach S 600,687,13
Mercedes-Benz,Mercedes-Benz,Metris (Cargo Van),422,21
Mercedes-Benz,Mercedes-Benz,Metris (Passenger Van),435,20
Mercedes-Benz,Mercedes-Benz,S 550,510,18
Mercedes-Benz,Mercedes-Benz,S 550 (convertible),519,17
Mercedes-Benz,Mercedes-Benz,S 550 4MATIC,535,16
Mercedes-Benz,Mercedes-Benz,S 550 4MATIC (coupe),522,17
Mercedes-Benz,Mercedes-Benz,S 550 4MATIC Maybach,549,16
Mercedes-Benz,Mercedes-Benz,S 600,661,13
Mercedes-Benz,Mercedes-Benz,S 65 AMG (convertible),645,14
Mercedes-Benz,Mercedes-Benz,S 65 AMG (coupe),666,13
Mercedes-Benz,Mercedes-Benz,SL 450,433,20
Mercedes-Benz,Mercedes-Benz,SL 550,510,17
Mercedes-Benz,Mercedes-Benz,SLC 300,361,25
Mercedes-Benz,Mercedes-Benz,Smart fortwo (Convertible),275,32
Mercedes-Benz,Mercedes-Benz,Smart fortwo (COUPE),275,32
Mitsubishi Motors Co,Mitsubishi Motors Corporation,LANCER,346,26
Mitsubishi Motors Co,Mitsubishi Motors Corporation,LANCER 4WD,381,23
Mitsubishi Motors Co,Mitsubishi Motors Corporation,MIRAGE,253,35
Mitsubishi Motors Co,Mitsubishi Motors Corporation,MIRAGE G4,264,34
Mitsubishi Motors Co,Mitsubishi Motors Corporation,OUTLANDER 2WD,360,25
Mitsubishi Motors Co,Mitsubishi Motors Corporation,OUTLANDER 4WD,405,22
Mitsubishi Motors Co,Mitsubishi Motors Corporation,OUTLANDER SPORT 2WD,375,23
Mitsubishi Motors Co,Mitsubishi Motors Corporation,OUTLANDER SPORT 4WD,388,23
Nissan,CHEVROLET,City Express Cargo Van,368,24
Nissan,INFINITI,Q50,422,22
Nissan,INFINITI,Q50 AWD,438,21
Nissan,INFINITI,Q50 HYBRID,332,27
Nissan,INFINITI,Q50 HYBRID AWD,344,26
Nissan,INFINITI,Q50S AWD RED SPORT,466,19
Nissan,INFINITI,Q50S  RED SPORT,448,20
Nissan,INFINITI,Q60,430,21
Nissan,INFINITI,Q60 AWD,445,20
Nissan,INFINITI,Q60S AWD RED SPORT,475,19
Nissan,INFINITI,Q60S RED SPORT,451,20
Nissan,INFINITI,Q70,520,17
Nissan,INFINITI,Q70 AWD,534,17
Nissan,INFINITI,Q70 HYBRID,317,28
Nissan,INFINITI,QX30,369,24
Nissan,INFINITI,QX30 AWD,413,21
Nissan,INFINITI,QX50,511,17
Nissan,INFINITI,QX50 AWD,519,17
Nissan,INFINITI,QX60 AWD,467,19
Nissan,INFINITI,QX60 AWD Hybrid,360,25
Nissan,INFINITI,QX60 FWD,453,20
Nissan,INFINITI,QX60 FWD Hybrid,352,25
Nissan,INFINITI,QX70 AWD,550,16
Nissan,INFINITI,QX70 RWD,524,17
Nissan,INFINITI,QX80 2WD,635,14
Nissan,INFINITI,QX80 4WD,660,13
Nissan,NISSAN,370Z,481,19
Nissan,NISSAN,370Z Roadster,502,18
Nissan,NISSAN,ALTIMA,368,25
Nissan,NISSAN,ALTIMA SR,343,26
Nissan,NISSAN,ARMADA 2WD,630,14
Nissan,NISSAN,ARMADA 4WD,670,13
Nissan,NISSAN,FRONTIER 2WD,516,17
Nissan,NISSAN,FRONTIER 2WD FFV,567,16
Nissan,NISSAN,FRONTIER 4WD,581,16
Nissan,NISSAN,FRONTIER 4WD FFV,592,15
Nissan,NISSAN,GT-R,547,16
Nissan,NISSAN,JUKE,324,28
Nissan,NISSAN,JUKE AWD,337,26
Nissan,NISSAN,JUKE NISMO RS,338,26
Nissan,NISSAN,JUKE NISMO RS AWD,358,25
Nissan,NISSAN,MAXIMA,423,21
Nissan,NISSAN,MURANO AWD,423,21
Nissan,NISSAN,MURANO FWD,418,21
Nissan,NISSAN,NV200 Cargo Van,368,24
Nissan,NISSAN,NV200 NYC Taxi,386,23
Nissan,NISSAN,PATHFINDER 2WD,451,20
Nissan,NISSAN,PATHFINDER 4WD,457,19
Nissan,NISSAN,PATHFINDER 4WD PLATINUM,471,19
Nissan,NISSAN,QUEST,451,20
Nissan,NISSAN,ROGUE AWD,363,25
Nissan,NISSAN,ROGUE AWD Hybrid,287,31
Nissan,NISSAN,ROGUE FWD,347,26
Nissan,NISSAN,ROGUE FWD Hybrid,267,33
Nissan,NISSAN,Rogue Sport,356,25
Nissan,NISSAN,Rogue Sport AWD,371,24
Nissan,NISSAN,SENTRA,328,27
Nissan,NISSAN,SENTRA NISMO,356,25
Nissan,NISSAN,TITAN 2WD,578,15
Nissan,NISSAN,TITAN 4WD,577,15
Nissan,NISSAN,TITAN 4WD PRO-4X,599,15
Nissan,NISSAN,VERSA,319,28
Porsche,Porsche,911 Carrera,423,21
Porsche,Porsche,911 Carrera 4,428,21
Porsche,Porsche,911 Carrera 4 Cabriolet,436,20
Porsche,Porsche,911 Carrera 4 GTS,462,19
Porsche,Porsche,911 Carrera 4 GTS Cabriolet,465,19
Porsche,Porsche,911 Carrera 4S,435,21
Porsche,Porsche,911 Carrera 4S Cabriolet,436,20
Porsche,Porsche,911 Carrera Cabriolet,430,21
Porsche,Porsche,911 Carrera GTS,459,19
Porsche,Porsche,911 Carrera GTS Cabriolet,462,19
Porsche,Porsche,911 Carrera S,429,21
Porsche,Porsche,911 Carrera S Cabriolet,431,21
Porsche,Porsche,911 Targa 4,434,21
Porsche,Porsche,911 Targa 4 GTS,474,19
Porsche,Porsche,911 Targa 4S,440,20
Porsche,Porsche,911 Turbo,475,19
Porsche,Porsche,911 Turbo Cabriolet,476,19
Porsche,Porsche,911 Turbo S,475,19
Porsche,Porsche,911 Turbo S Cabriolet,476,19
Porsche,Porsche,Boxster,406,22
Porsche,Porsche,Boxster S,435,21
Porsche,Porsche,Cayenne,485,18
Porsche,Porsche,Cayenne GTS,546,16
Porsche,Porsche,Cayenne Platinum,510,17
Porsche,Porsche,Cayenne S,524,17
Porsche,Porsche,Cayenne Turbo,626,14
Porsche,Porsche,Cayenne Turbo S,626,14
Porsche,Porsche,Macan,440,20
Porsche,Porsche,Macan GTS,521,17
Porsche,Porsche,Macan S,516,17
Porsche,Porsche,Macan Turbo,535,17
Porsche,Porsche,Macan Turbo Kit,527,17
Porsche,Porsche,Panamera,414,21
Porsche,Porsche,Panamera 4,424,21
Porsche,Porsche,Panamera 4 Executive,424,21
Porsche,Porsche,Panamera 4S,426,21
Porsche,Porsche,Panamera 4S Executive,426,21
Porsche,Porsche,Panamera Turbo,481,18
Porsche,Porsche,Panamera Turbo Executive,481,18
Rolls-Royce,Rolls-Royce Motor Cars Limited,Dawn,752,12
Rolls-Royce,Rolls-Royce Motor Cars Limited,Ghost,752,12
Rolls-Royce,Rolls-Royce Motor Cars Limited,Ghost EWB,752,12
Rolls-Royce,Rolls-Royce Motor Cars Limited,Phantom,772,11
Rolls-Royce,Rolls-Royce Motor Cars Limited,Phantom Coupe,772,11
Rolls-Royce,Rolls-Royce Motor Cars Limited,Phantom Drophead Coupe,771,11
Rolls-Royce,Rolls-Royce Motor Cars Limited,Phantom EWB,771,11
Rolls-Royce,Rolls-Royce Motor Cars Limited,Wraith,715,12
Roush,"Roush Industries, Inc.",F150 Pickup 2WD,738,12
Roush,"Roush Industries, Inc.",F150 Pickup 4WD,738,12
Roush,"Roush Industries, Inc.",Roush Stage 3 Mustang,672,14
Subaru,Subaru,BRZ,392,23
Subaru,Subaru,CROSSTREK,367,25
Subaru,Subaru,FORESTER,380,24
Subaru,Subaru,IMPREZA 4-Door,346,26
Subaru,Subaru,IMPREZA 5-Door,345,26
Subaru,Subaru,IMPREZA SPORT 4-Door,353,25
Subaru,Subaru,IMPREZA SPORT 5-Door,361,25
Subaru,Subaru,LEGACY,399,23
Subaru,Subaru,OUTBACK,404,23
Subaru,Subaru,WRX,474,18
Toyota,LEXUS,CT 200h,205,43
Toyota,LEXUS,ES 300h,219,40
Toyota,LEXUS,ES 350,426,21
Toyota,LEXUS,GS 200t,401,22
Toyota,LEXUS,GS 200t F SPORT,426,21
Toyota,LEXUS,GS 350,447,20
Toyota,LEXUS,GS 350 AWD,466,19
Toyota,LEXUS,GS 350 F SPORT,470,19
Toyota,LEXUS,GS 450h,302,29
Toyota,LEXUS,GS F,561,16
Toyota,LEXUS,GX 460,602,15
Toyota,LEXUS,IS 200t,401,22
Toyota,LEXUS,IS 300 AWD,473,19
Toyota,LEXUS,IS 350,459,19
Toyota,LEXUS,IS 350 AWD,473,19
Toyota,LEXUS,LS 460,539,16
Toyota,LEXUS,LS 460 AWD,567,16
Toyota,LEXUS,LS 460 L,539,16
Toyota,LEXUS,LS 460 L AWD,567,16
Toyota,LEXUS,LX 570,687,13
Toyota,LEXUS,NX 200t,396,22
Toyota,LEXUS,NX 200t AWD,400,22
Toyota,LEXUS,NX 200t AWD F SPORT,407,22
Toyota,LEXUS,NX 300h AWD,269,33
Toyota,LEXUS,RC 200t,401,22
Toyota,LEXUS,RC 300 AWD,473,19
Toyota,LEXUS,RC 350,459,19
Toyota,LEXUS,RC 350 AWD,473,19
Toyota,LEXUS,RC F,552,16
Toyota,LEXUS,RX 350,444,20
Toyota,LEXUS,RX 350 AWD,459,19
Toyota,LEXUS,RX 450h AWD,283,31
Toyota,TOYOTA,4RUNNER 2WD,524,17
Toyota,TOYOTA,4RUNNER 4WD,532,17
Toyota,TOYOTA,86,398,23
Toyota,TOYOTA,AVALON,426,21
Toyota,TOYOTA,AVALON HYBRID,219,40
Toyota,TOYOTA,CAMRY,391,23
Toyota,TOYOTA,CAMRY HYBRID LE,212,42
Toyota,TOYOTA,CAMRY HYBRID XLE/SE,223,40
Toyota,TOYOTA,COROLLA,315,28
Toyota,TOYOTA,COROLLA iM,323,28
Toyota,TOYOTA,COROLLA LE ECO,298,30
Toyota,TOYOTA,HIGHLANDER,440,20
Toyota,TOYOTA,HIGHLANDER AWD,452,20
Toyota,TOYOTA,HIGHLANDER AWD LE,439,20
Toyota,TOYOTA,HIGHLANDER HYBRID AWD,302,29
Toyota,TOYOTA,HIGHLANDER HYBRID AWD LE Plus,297,30
Toyota,TOYOTA,HIGHLANDER LE/XLE/SE/LTD,430,21
Toyota,TOYOTA,LAND CRUISER WAGON 4WD,679,13
Toyota,TOYOTA,PRIUS,164,54
Toyota,TOYOTA,PRIUS c,183,48
Toyota,TOYOTA,PRIUS Eco,152,58
Toyota,TOYOTA,PRIUS v,208,43
Toyota,TOYOTA,RAV4,388,23
Toyota,TOYOTA,RAV4 AWD,395,22
Toyota,TOYOTA,RAV4 HYBRID AWD,260,34
Toyota,TOYOTA,RAV4 LE/XLE,376,23
Toyota,TOYOTA,RAV4 Limited AWD/SE AWD,403,22
Toyota,TOYOTA,SEQUOIA 2WD,681,13
Toyota,TOYOTA,SEQUOIA 4WD,696,13
Toyota,TOYOTA,SEQUOIA 4WD FFV,690,13
Toyota,TOYOTA,SIENNA,470,19
Toyota,TOYOTA,SIENNA AWD,504,18
Toyota,TOYOTA,TACOMA 2WD,469,19
Toyota,TOYOTA,TACOMA 4WD,488,18
Toyota,TOYOTA,TACOMA 4WD D-CAB V6 MT OFF-ROAD,517,17
Toyota,TOYOTA,TUNDRA 2WD,632,14
Toyota,TOYOTA,TUNDRA 2WD FFV,682,13
Toyota,TOYOTA,TUNDRA 4WD,652,14
Toyota,TOYOTA,TUNDRA 4WD FFV,679,13
Toyota,TOYOTA,YARIS,295,30
Toyota,TOYOTA,YARIS iA,284,31
Volkswagen Group of,Audi,A3,342,26
Volkswagen Group of,Audi,A3 Cabriolet,358,25
Volkswagen Group of,Audi,A3 Cabriolet quattro,408,22
Volkswagen Group of,Audi,A3 quattro,366,24
Volkswagen Group of,Audi,A4,356,25
Volkswagen Group of,Audi,A4 allroad quattro,381,23
Volkswagen Group of,Audi,A4 quattro,370,24
Volkswagen Group of,Audi,A4 Ultra,321,27
Volkswagen Group of,Audi,A5 Cabriolet quattro,425,21
Volkswagen Group of,Audi,A5 quattro,401,23
Volkswagen Group of,Audi,A6,363,24
Volkswagen Group of,Audi,A6 quattro,421,22
Volkswagen Group of,Audi,A7 quattro,431,21
Volkswagen Group of,Audi,A8L,483,19
Volkswagen Group of,Audi,Q3,451,20
Volkswagen Group of,Audi,Q3 quattro,446,20
Volkswagen Group of,Audi,Q5,474,19
Volkswagen Group of,Audi,Q7,459,20
Volkswagen Group of,Audi,R8,609,14
Volkswagen Group of,Audi,R8 Spyder,609,14
Volkswagen Group of,Audi,RS7,614,15
Volkswagen Group of,Audi,S3,416,21
Volkswagen Group of,Audi,S5,504,18
Volkswagen Group of,Audi,S5 Cabriolet,500,18
Volkswagen Group of,Audi,S6,497,18
Volkswagen Group of,Audi,S7,505,17
Volkswagen Group of,Audi,S8,608,15
Volkswagen Group of,Audi,SQ5,528,17
Volkswagen Group of,Audi,TT Coupe quattro,373,23
Volkswagen Group of,Audi,TT Roadster quattro,373,23
Volkswagen Group of,Audi,TTS Coupe,386,23
Volkswagen Group of,Bentley,Bentayga,707,12
Volkswagen Group of,Bentley,Continental GT,645,14
Volkswagen Group of,Bentley,Continental GT Convertible,687,13
Volkswagen Group of,Bentley,Flying Spur,687,13
Volkswagen Group of,Bentley,Mulsanne,785,11
Volkswagen Group of,Bentley,Mulsanne EWB,838,11
Volkswagen Group of,Lamborghini,Aventador Coupe,836,11
Volkswagen Group of,Lamborghini,Aventador Coupe LP740-4,904,10
Volkswagen Group of,Lamborghini,Aventador Roadster,857,10
Volkswagen Group of,Lamborghini,Aventador Roadster LP740-4,904,10
Volkswagen Group of,Lamborghini,Huracan,617,14
Volkswagen Group of,Lamborghini,Huracan 2WD,617,14
Volkswagen Group of,Lamborghini,Huracan Spyder,634,14
Volkswagen Group of,Lamborghini,Huracan Spyder 2WD,634,14
Volkswagen Group of,Volkswagen,Beetle,374,24
Volkswagen Group of,Volkswagen,Beetle Convertible,364,24
Volkswagen Group of,Volkswagen,Beetle Dune,371,24
Volkswagen Group of,Volkswagen,Beetle Dune Convertible,371,24
Volkswagen Group of,Volkswagen,CC,403,22
Volkswagen Group of,Volkswagen,CC 4Motion,523,17
Volkswagen Group of,Volkswagen,Golf,353,25
Volkswagen Group of,Volkswagen,Golf Alltrack,403,22
Volkswagen Group of,Volkswagen,Golf R,397,23
Volkswagen Group of,Volkswagen,Golf SportWagen,355,25
Volkswagen Group of,Volkswagen,Golf SportWagen 4Motion,403,22
Volkswagen Group of,Volkswagen,GTI,365,24
Volkswagen Group of,Volkswagen,Jetta,348,26
Volkswagen Group of,Volkswagen,Passat,416,22
Volkswagen Group of,Volkswagen,Tiguan,449,20
Volkswagen Group of,Volkswagen,Tiguan 4Motion,460,20
Volkswagen Group of,Volkswagen,Touareg,519,17
Volvo,"Volvo Cars of North America, LLC",S60 AWD,394,23
Volvo,"Volvo Cars of North America, LLC",S60 CC AWD,405,22
Volvo,"Volvo Cars of North America, LLC",S60 FWD,350,25
Volvo,"Volvo Cars of North America, LLC",S60 Inscription AWD,391,23
Volvo,"Volvo Cars of North America, LLC",S60 Inscription FWD,350,25
Volvo,"Volvo Cars of North America, LLC",S60 Polestar AWD,441,20
Volvo,"Volvo Cars of North America, LLC",S90 AWD,406,22
Volvo,"Volvo Cars of North America, LLC",S90 FWD,380,23
Volvo,"Volvo Cars of North America, LLC",V60 AWD,394,23
Volvo,"Volvo Cars of North America, LLC",V60 CC AWD,405,22
Volvo,"Volvo Cars of North America, LLC",V60 FWD,350,25
Volvo,"Volvo Cars of North America, LLC",V60 Polestar AWD,441,20
Volvo,"Volvo Cars of North America, LLC",V90 CC AWD,402,22
Volvo,"Volvo Cars of North America, LLC",XC60 AWD,445,20
Volvo,"Volvo Cars of North America, LLC",XC60 FWD,393,23
Volvo,"Volvo Cars of North America, LLC",XC90 AWD,420,21
Volvo,"Volvo Cars of North America, LLC",XC90 FWD,401,22
