Mfr Name,Division,Carline,Average City CO2,Average City Fuel Efficiency
FCA US LLC,Jeep,Renegade 4x2,391,23
FCA US LLC,Jeep,Renegade 4x4,395,23
FCA US LLC,Jeep,Wrangler 4X4,533,17
FCA US LLC,Jeep,Wrangler Unlimited 4X4,559,16
FCA US LLC,RAM,1500 4X2,558,16
FCA US LLC,RAM,1500 4X4,605,15
FCA US LLC,RAM,Promaster City,424,21
Ferrari,"Ferrari North America, Inc.",488 gtb,574,16
Ferrari,"Ferrari North America, Inc.",488 Spider,574,16
Ferrari,"Ferrari North America, Inc.",California T,559,16
Ferrari,"Ferrari North America, Inc.",F12 Berlinetta,759,12
Ferrari,"Ferrari North America, Inc.",F12 tdf,792,11
Ferrari,"Ferrari North America, Inc.",GTC4Lusso,764,12
Ferrari,"Ferrari North America, Inc.",LaFerrari Aperta,765,12
Ford Motor Company,Ford,C-MAX Hybrid FWD,214,42
Ford Motor Company,Ford,EDGE AWD,497,18
Ford Motor Company,Ford,EDGE FWD,456,19
Ford Motor Company,Ford,ESCAPE AWD,420,21
Ford Motor Company,Ford,ESCAPE FWD,402,22
Ford Motor Company,Ford,ESCAPE FWD FFV,420,21
Ford Motor Company,Ford,Expedition 2WD,579,15
Ford Motor Company,Ford,Expedition 4WD,611,15
Ford Motor Company,Ford,Expedition EL 2WD,608,15
Ford Motor Company,Ford,Expedition EL 4WD,611,15
Ford Motor Company,Ford,EXPLORER AWD,532,17
Ford Motor Company,Ford,EXPLORER FFV 2WD,522,17
Ford Motor Company,Ford,EXPLORER FFV AWD,541,16
Ford Motor Company,Ford,EXPLORER FWD,500,18
Ford Motor Company,Ford,F150 2.7L 2WD GVWR>6649 LBS,493,18
Ford Motor Company,Ford,F150 2.7L 4WD GVWR>6799 LBS,502,18
Ford Motor Company,Ford,F150 2WD BASE PAYLOAD LT TIRE,478,19
Ford Motor Company,Ford,F150 3.5L 2WD GVWR>7599 LBS,521,17
Ford Motor Company,Ford,F150 3.5L 4WD GVWR>7599 LBS,510,17
