mfr,count,end
aston martin,3,3
BMW,98,101
Chrysler,46,147
Ferrari,7,154
Ford,73,227
General Motors,80,307
Honda,24,331
Hyundai,30,361
Jaguar Land Rover,28,389
Kia,24,413
Lotus,1,414
Maserati,10,424
MAZDA,11,435
McLaren,2,437
Mercedes-Benz,78,515
Mitsubishi,8,523
Nissan,62,585
Porsche,39,624
Rolls-Royce,8,632
Roush,3,635
Subaru,10,645
Toyota,73,718
Volkswagen,62,780
Volvo,17,797
