Dominica,DMA,58.672,102.676,154.014,132.012,132.012,139.346,128.345,135.679,132.012,7
Denmark,DNK,50230.566,51330.666,50256.235,46933.933,44510.046,46640.573,40645.028,36405.976,38067.127,0
Dominican Republic,DOM,9229.839,19790.799,21173.258,21433.615,20560.869,21649.968,22082.674,22746.401,22071.673,7
Algeria,DZA,77942.085,87930.993,109496.62,110299.693,121432.705,119177.5,121187.016,129987.816,134215.867,5
Ecuador,ECU,16827.863,20718.55,31888.232,33868.412,35969.603,38074.461,39640.27,40472.679,43527.29,9
"Egypt, Arab Rep.",EGY,75943.57,141326.18,189092.522,198586.385,206734.459,202715.427,217163.407,217068.065,213012.363,5
Eritrea,ERI,-1,608.722,579.386,414.371,513.38,513.38,594.054,660.06,667.394,5
Spain,ESP,218597.204,294434.431,358236.564,329285.599,288237.201,270910.626,270547.593,264779.402,236968.874,0
Estonia,EST,-1,14858.684,18709.034,17491.59,14565.324,18107.646,18606.358,17623.602,19915.477,0
Ethiopia,ETH,3017.941,3549.656,6013.88,6578.598,6629.936,6585.932,7726.369,8562.445,10634.3,5
Finland,FIN,51745.037,52427.099,63985.483,56519.471,53149.498,61909.961,56636.815,48826.105,46299.542,0
Fiji,FJI,817.741,865.412,1202.776,502.379,1067.097,1598.812,1591.478,1595.145,1708.822,3
France,FRA,375632.812,362090.581,368914.868,366069.276,351632.297,352769.067,331537.137,332956.266,333190.954,0
Faroe Islands,FRO,616.056,689.396,689.396,630.724,575.719,630.724,568.385,590.387,594.054,0
"Micronesia, Fed. Sts.",FSM,-1,135.679,143.013,121.011,168.682,121.011,128.345,143.013,146.68,3
Gabon,GAB,4499.409,4693.76,4118.041,4165.712,4330.727,4536.079,4470.073,4580.083,4756.099,5
United Kingdom,GBR,555924.534,541784.582,528425.701,520072.275,471400.184,493607.536,447935.051,467197.802,457472.918,0
Georgia,GEO,-1,4536.079,6420.917,5166.803,5914.871,5555.505,6882.959,7356.002,7510.016,1
Ghana,GHA,3817.347,6288.905,9827.56,9138.164,7708.034,9955.905,9831.227,11877.413,14620.329,5
Gibraltar,GIB,143.013,333.697,414.371,425.372,462.042,465.709,454.708,462.042,491.378,0
Guinea,GIN,1056.096,1279.783,1210.11,2189.199,2258.872,2603.57,2779.586,2581.568,2299.209,5
"Gambia, The",GMB,190.684,275.025,396.036,410.704,436.373,473.043,436.373,473.043,491.378,5
Guinea-Bissau,GNB,172.349,146.68,231.021,227.354,234.688,238.355,245.689,253.023,256.69,5
Equatorial Guinea,GNQ,121.011,454.708,4796.436,4503.076,4620.42,4679.092,6769.282,5830.53,5412.492,5
Greece,GRC,74278.752,91616.328,98246.264,95965.39,91942.691,83490.256,80725.338,79969.936,69155.953,0
Grenada,GRD,106.343,190.684,238.355,253.023,253.023,260.357,253.023,271.358,304.361,7
